feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Plasmid	Any_Ab_use	Any_Ab_use	0.488909795606787	0.155813030994007	135	135	0.00209662885291308	0.0293528039407831
Aminoglycoside	Any_Ab_use	Any_Ab_use	0.429125442733333	0.154800235954495	135	135	0.0063687541932208	0.0445812793525456
MDR	Any_Ab_use	Any_Ab_use	-0.343130375470714	0.144679800405657	135	134	0.0191468947420686	0.0893521754629869
Beta.lactam	Any_Ab_use	Any_Ab_use	0.331052157676436	0.147542593029152	135	135	0.0265001432353316	0.0927505013236605
